epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_fc,is_best
1,3.3863316968817654,0.2525613920962758,2.2700967068765676,0.4362745098039216,0.005,0.05,1
2,1.217981681142867,0.683037892340218,0.7548764345692653,0.7852941176470588,0.0049692208514878445,0.04969220851487845,1
3,0.6341370478318482,0.8255000813140349,0.5447133718752394,0.8372549019607843,0.0048776412907378846,0.048776412907378844,1
4,0.5477728756836205,0.8516832005204098,0.3236897362797868,0.9127450980392157,0.00472751631047092,0.0472751631047092,1
5,0.45365416113293877,0.8806309969100666,0.24177217629610323,0.9352941176470588,0.004522542485937369,0.0452254248593737,1
6,0.3091326839828088,0.9159212880143113,0.19801098640058554,0.946078431372549,0.004267766952966369,0.042677669529663696,1
7,0.25545113156298965,0.9282810213042771,0.1981442529781192,0.9411764705882353,0.003969463130731183,0.03969463130731184,0
8,0.21616568374796638,0.9399902423158237,0.16280397129993812,0.9529411764705882,0.0036349762493488673,0.036349762493488674,1
9,0.20415394089826433,0.9445438282647585,0.1567133636451235,0.9656862745098039,0.003272542485937369,0.03272542485937369,1
10,0.18048912807293377,0.9525126036753944,0.17798807193689486,0.9568627450980393,0.0028910861626005777,0.02891086162600578,0
11,0.18339010301276443,0.9515368352577654,0.17062028495996606,0.957843137254902,0.0025,0.025000000000000005,0
12,0.14249776602566852,0.9612945194340543,0.15634292210726178,0.9607843137254902,0.0021089138373994237,0.02108913837399424,0
13,0.1341549843031132,0.9645470808261506,0.1469178511523733,0.9647058823529412,0.0017274575140626318,0.01727457514062632,0
14,0.12827642978081027,0.9656854773133843,0.12796504032962464,0.9686274509803922,0.0013650237506511332,0.013650237506511334,1
15,0.12569785825720375,0.9661733615221987,0.1379214829673954,0.9676470588235294,0.0010305368692688174,0.010305368692688176,0
16,0.1182837095332739,0.9702390632623191,0.13900423137580648,0.9647058823529412,0.0007322330470336313,0.007322330470336314,0
17,0.10540717390966738,0.9728411123759961,0.13025618357693447,0.9696078431372549,0.00047745751406263163,0.004774575140626317,1
18,0.11339866315316216,0.9707269474711335,0.13371709091406242,0.9676470588235294,0.00027248368952908055,0.0027248368952908055,0
19,0.10593831559510168,0.9723532281671816,0.1300690910395454,0.9705882352941176,0.00012235870926211617,0.0012235870926211618,1
20,0.10641968426209657,0.9715400878191576,0.12830267935699108,0.9705882352941176,3.077914851215585e-05,0.00030779148512155856,0
