epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5828,1.41535,2.43153,1.145,0.54426,0.27621,0.27101,0.16431,1.34497,1.64849,1.11251,0.000132544,0.000132544,0.000132544
2,105.782,1.34827,1.6234,1.12405,0.54417,0.26871,0.29715,0.17596,1.32082,1.5134,1.12588,0.000260613,0.000260613,0.000260613
3,157.244,1.33656,1.50004,1.11767,0.54709,0.31979,0.30804,0.17897,1.35608,1.50631,1.16728,0.000383402,0.000383402,0.000383402
4,210.558,1.31563,1.40799,1.11756,0.58312,0.37762,0.37859,0.23169,1.35767,1.37009,1.13776,0.00037624,0.00037624,0.00037624
5,262.31,1.3088,1.34664,1.11331,0.60144,0.37216,0.36397,0.21709,1.27547,1.36914,1.11208,0.00036832,0.00036832,0.00036832
6,313.858,1.28046,1.27586,1.10284,0.56282,0.42995,0.39968,0.23937,1.35781,1.2926,1.13862,0.0003604,0.0003604,0.0003604
7,365.315,1.26611,1.23785,1.09634,0.64529,0.36189,0.39992,0.24177,1.32471,1.23032,1.13727,0.00035248,0.00035248,0.00035248
8,416.741,1.25597,1.20203,1.08445,0.57495,0.4339,0.43539,0.26864,1.30943,1.21045,1.12486,0.00034456,0.00034456,0.00034456
9,470.656,1.24846,1.1787,1.08233,0.62366,0.38677,0.39791,0.24041,1.36025,1.26153,1.1437,0.00033664,0.00033664,0.00033664
10,523.957,1.22571,1.14113,1.06856,0.59092,0.45494,0.43912,0.27166,1.32074,1.15685,1.12919,0.00032872,0.00032872,0.00032872
11,575.613,1.20292,1.09513,1.06212,0.62945,0.37328,0.3993,0.24226,1.32399,1.23553,1.11515,0.0003208,0.0003208,0.0003208
12,627.671,1.1974,1.07348,1.05199,0.61716,0.42073,0.41989,0.25529,1.35059,1.27205,1.13924,0.00031288,0.00031288,0.00031288
13,679.464,1.18018,1.05049,1.05186,0.53721,0.46448,0.42484,0.2571,1.30039,1.27786,1.12149,0.00030496,0.00030496,0.00030496
14,731.309,1.16904,1.01719,1.04477,0.58349,0.38975,0.40384,0.2416,1.32772,1.21307,1.13138,0.00029704,0.00029704,0.00029704
15,782.998,1.16834,0.99798,1.04265,0.71629,0.39923,0.45976,0.28089,1.3084,1.18293,1.11711,0.00028912,0.00028912,0.00028912
16,833.954,1.16194,0.99038,1.04361,0.67326,0.42008,0.46382,0.28845,1.24179,1.13758,1.09469,0.0002812,0.0002812,0.0002812
17,885.106,1.14416,0.96108,1.03297,0.62813,0.42325,0.42872,0.26169,1.27739,1.15636,1.10341,0.00027328,0.00027328,0.00027328
18,936.128,1.12712,0.94277,1.03093,0.58635,0.46781,0.44541,0.27569,1.27886,1.12501,1.11688,0.00026536,0.00026536,0.00026536
19,987.817,1.11783,0.92523,1.02617,0.61784,0.37991,0.41675,0.24949,1.33012,1.14555,1.14021,0.00025744,0.00025744,0.00025744
20,1039.26,1.12056,0.92175,1.0278,0.57272,0.47089,0.45114,0.28657,1.21662,1.13811,1.07459,0.00024952,0.00024952,0.00024952
21,1091.45,1.10966,0.8991,1.01365,0.64353,0.48604,0.47103,0.28114,1.29261,1.10607,1.10981,0.0002416,0.0002416,0.0002416
22,1145.19,1.10232,0.8786,1.01257,0.64924,0.44041,0.46102,0.27968,1.31032,1.141,1.12438,0.00023368,0.00023368,0.00023368
23,1200.16,1.08646,0.86654,1.01091,0.62165,0.43574,0.46518,0.2883,1.29094,1.15677,1.10679,0.00022576,0.00022576,0.00022576
24,1251.17,1.0905,0.853,1.01105,0.61201,0.44982,0.46583,0.29301,1.28616,1.10422,1.10843,0.00021784,0.00021784,0.00021784
25,1302.28,1.07855,0.84485,1.00365,0.53804,0.46923,0.45849,0.28538,1.32893,1.11759,1.14084,0.00020992,0.00020992,0.00020992
26,1353.88,1.08406,0.82784,1.00249,0.60589,0.45577,0.45736,0.28843,1.31933,1.14117,1.12477,0.000202,0.000202,0.000202
27,1405.36,1.06976,0.80649,0.99745,0.70612,0.42614,0.47842,0.30011,1.29178,1.11699,1.12784,0.00019408,0.00019408,0.00019408
28,1457.47,1.06085,0.79846,0.99009,0.7147,0.4146,0.47767,0.29631,1.31022,1.10256,1.11761,0.00018616,0.00018616,0.00018616
29,1508.67,1.04908,0.78499,0.98858,0.79099,0.38301,0.48962,0.30946,1.23768,1.08473,1.09,0.00017824,0.00017824,0.00017824
30,1560.57,1.03753,0.77209,0.98287,0.61098,0.43673,0.45161,0.27816,1.2782,1.0881,1.11059,0.00017032,0.00017032,0.00017032
31,1612.41,1.02998,0.76197,0.97969,0.66266,0.42188,0.46192,0.28714,1.30978,1.09282,1.11483,0.0001624,0.0001624,0.0001624
32,1663.68,1.02008,0.74402,0.97707,0.56453,0.44627,0.46683,0.28941,1.3134,1.10149,1.12866,0.00015448,0.00015448,0.00015448
33,1716.03,1.0244,0.73423,0.97279,0.67287,0.41518,0.46487,0.28846,1.30791,1.12068,1.12925,0.00014656,0.00014656,0.00014656
34,1767,1.00513,0.72198,0.97391,0.60881,0.43988,0.47154,0.29172,1.30957,1.13461,1.14411,0.00013864,0.00013864,0.00013864
35,1818.35,1.00376,0.71021,0.97254,0.63675,0.42952,0.4595,0.28581,1.31511,1.13324,1.13485,0.00013072,0.00013072,0.00013072
36,1874.12,0.9898,0.69934,0.96897,0.64987,0.42253,0.47544,0.28657,1.3309,1.1584,1.14213,0.0001228,0.0001228,0.0001228
